Mean_Y_Luminance,Mean_G_RGB,GRGB_Value
9.942315789473684617e+01,8.971368421052630993e+01,1.848728254450426434e+00
9.932280701754386598e+01,8.972421052631578675e+01,1.837356278636117501e+00
9.967929824561403507e+01,9.024912280701754241e+01,1.849928983263714022e+00
9.949052631578946659e+01,9.021122807017543721e+01,1.859573279143608815e+00
1.000323886639676090e+02,9.035964912280701355e+01,1.822333284580049728e+00
1.001221322537112002e+02,9.015519568151147212e+01,1.826194483980519978e+00
9.931309041835358187e+01,8.997300944669365208e+01,1.861661834944907223e+00
9.965114709851552277e+01,8.983670715249662919e+01,1.843406204481395472e+00
9.895951417004049233e+01,8.965114709851552277e+01,1.871930972640138968e+00
9.857692307692308020e+01,8.932726045883940458e+01,1.879560142600689598e+00
9.828708791208791240e+01,8.878090659340659840e+01,1.854649822460267661e+00
9.831250000000000000e+01,8.845398351648351820e+01,1.830173559155338303e+00
9.828708791208791240e+01,8.870673076923077360e+01,1.843182710340245389e+00
9.825274725274725540e+01,8.885027472527472980e+01,1.841277533989529980e+00
9.797458791208791240e+01,8.873008241758242320e+01,1.852559338938043920e+00
9.760508241758242320e+01,8.815521978021978100e+01,1.850704312655667483e+00
9.767719780219779580e+01,8.792857142857143060e+01,1.827222754679278083e+00
9.734271978021978100e+01,8.799244505494505120e+01,1.874701480641970619e+00
9.716277472527472980e+01,8.801854395604395620e+01,1.879332473577397966e+00
9.694986263736264220e+01,8.771497252747252560e+01,1.882194852567003585e+00
9.681456043956043800e+01,8.744780219780220420e+01,1.890458865340732597e+00
9.654052197802197099e+01,8.707074175824175200e+01,1.870195655198636731e+00
9.656283068783068302e+01,8.715145502645502518e+01,1.887384379335964368e+00
9.671230158730158166e+01,8.740674603174603874e+01,1.892243012849510464e+00
9.645634920634920206e+01,8.669576719576718915e+01,1.861833191179091518e+00
9.668584656084655649e+01,8.707341269841269593e+01,1.867686359968207643e+00
9.666269841269841834e+01,8.691402116402116462e+01,1.840536434743319960e+00
9.655687830687830342e+01,8.671428571428570820e+01,1.844760342269351261e+00
9.653373015873016527e+01,8.691269841269841834e+01,1.847245518144243537e+00
9.698544973544973402e+01,8.794973544973545643e+01,1.875006505629395637e+00
9.715410052910053196e+01,8.803902116402116462e+01,1.857553556157437225e+00
